lr-AdamW,step,train_loss_phi,train_loss_psi,train_loss_omega,train_loss_tau,train_loss_CA:C:1N,train_loss_C:1N:1CA,train_loss,epoch,val_loss_phi,val_loss_psi,val_loss_omega,val_loss_tau,val_loss_CA:C:1N,val_loss_C:1N:1CA,val_loss
0.0,0,,,,,,,,,,,,,,,
,199,0.6738479137420654,0.7653018832206726,0.7209005355834961,0.6991016268730164,0.7892417311668396,0.7276721000671387,0.729344367980957,0,,,,,,,
,399,0.6902661919593811,0.7287341356277466,0.7506421208381653,0.6993556618690491,0.7499749660491943,0.7036442756652832,0.7204362750053406,0,,,,,,,
,506,,,,,,,,0,0.6829398274421692,0.7518278956413269,0.7200074195861816,0.6995671391487122,0.7576379179954529,0.7153869271278381,0.7212278842926025
5.0000000000000004e-08,507,,,,,,,,,,,,,,,
,599,0.6887387037277222,0.7585272789001465,0.732829749584198,0.6880921721458435,0.7365039587020874,0.7163708209991455,0.7201771140098572,1,,,,,,,
,799,0.6596503257751465,0.7426512837409973,0.7012373805046082,0.6700472235679626,0.7253555059432983,0.6818321347236633,0.696795642375946,1,,,,,,,
,999,0.6441599130630493,0.7217487692832947,0.6674931049346924,0.6456055641174316,0.7002439498901367,0.6638725996017456,0.6738540530204773,1,,,,,,,
,1013,,,,,,,,1,0.6420464515686035,0.7167860865592957,0.6638768315315247,0.6382365226745605,0.701311469078064,0.6588154435157776,0.6701787710189819
1.0000000000000001e-07,1014,,,,,,,,,,,,,,,
,1199,0.6099796891212463,0.710392415523529,0.6330333948135376,0.5859594345092773,0.6854175925254822,0.6362345814704895,0.6435028910636902,2,,,,,,,
,1399,0.5909804701805115,0.6898965239524841,0.5772455930709839,0.5610628724098206,0.6207912564277649,0.5823462009429932,0.6037205457687378,2,,,,,,,
,1520,,,,,,,,2,0.5681143999099731,0.6689023971557617,0.5549722909927368,0.513275146484375,0.5864715576171875,0.5406533479690552,0.5720649361610413
1.5000000000000002e-07,1521,,,,,,,,,,,,,,,
,1599,0.5549638271331787,0.658359169960022,0.5434038639068604,0.5031628608703613,0.5731712579727173,0.5313161015510559,0.5607295632362366,3,,,,,,,
,1799,0.5606755614280701,0.6619616150856018,0.5041372776031494,0.49522364139556885,0.5460196137428284,0.4808249771595001,0.5414738059043884,3,,,,,,,
,1999,0.5205152034759521,0.6505916118621826,0.4616217017173767,0.4048895239830017,0.4682249128818512,0.43755415081977844,0.4905661940574646,3,,,,,,,
,2027,,,,,,,,3,0.48302438855171204,0.6288291811943054,0.4054957628250122,0.35690733790397644,0.41417136788368225,0.3784389793872833,0.44447776675224304
2.0000000000000002e-07,2028,,,,,,,,,,,,,,,
,2199,0.44885098934173584,0.619873583316803,0.3453422784805298,0.31057995557785034,0.35302138328552246,0.3320016860961914,0.40161165595054626,4,,,,,,,
,2399,0.42213910818099976,0.5851758718490601,0.30706313252449036,0.28040334582328796,0.28187885880470276,0.28942665457725525,0.36101454496383667,4,,,,,,,
,2534,,,,,,,,4,0.41769635677337646,0.5934316515922546,0.2684633135795593,0.2416817992925644,0.2499636709690094,0.24726536870002747,0.336417019367218
2.5000000000000004e-07,2535,,,,,,,,,,,,,,,
,2599,0.41130462288856506,0.5958481431007385,0.2714260518550873,0.2433883249759674,0.25718045234680176,0.2615901231765747,0.34012293815612793,5,,,,,,,
,2799,0.3936411142349243,0.5651057958602905,0.2568540573120117,0.24022097885608673,0.23243305087089539,0.2329690158367157,0.3202040195465088,5,,,,,,,
,2999,0.4091091752052307,0.5861867070198059,0.2556084096431732,0.23651358485221863,0.2349339872598648,0.23581552505493164,0.3263612389564514,5,,,,,,,
,3041,,,,,,,,5,0.4027734696865082,0.5782592296600342,0.23672731220722198,0.21716049313545227,0.21656382083892822,0.21684999763965607,0.3113889992237091
3.0000000000000004e-07,3042,,,,,,,,,,,,,,,
,3199,0.40318018198013306,0.5680708289146423,0.24403920769691467,0.23178914189338684,0.22466936707496643,0.21387134492397308,0.31427001953125,6,,,,,,,
,3399,0.4099576473236084,0.5676074028015137,0.26195186376571655,0.226402148604393,0.22127436101436615,0.23209571838378906,0.31988152861595154,6,,,,,,,
,3548,,,,,,,,6,0.3910976052284241,0.5607227683067322,0.2241252064704895,0.20499441027641296,0.20307809114456177,0.2053905874490738,0.29823482036590576
3.5000000000000004e-07,3549,,,,,,,,,,,,,,,
,3599,0.42540496587753296,0.591826319694519,0.2440822720527649,0.2180505245923996,0.23156781494617462,0.23198115825653076,0.3238188624382019,7,,,,,,,
,3799,0.40817439556121826,0.5620527267456055,0.2363518476486206,0.22697566449642181,0.21602462232112885,0.23063912987709045,0.3133697509765625,7,,,,,,,
,3999,0.35238006711006165,0.5274717807769775,0.20307792723178864,0.1783265769481659,0.18533705174922943,0.19627375900745392,0.2738112211227417,7,,,,,,,
